instrument,venue,open,high,low,close,volume,open_time,close_time
XAUUSD,MT5,1980.42,2001.72,1930.62,1951.92,1802,2020-01-01T18:00:00+00:00,2020-01-01T19:00:00+00:00
XAUUSD,MT5,1951.92,1981.42,1948.09,1977.59,1706,2020-01-01T19:00:00+00:00,2020-01-01T20:00:00+00:00
XAUUSD,MT5,1977.59,2000.78,1952.70,1975.89,1902,2020-01-01T20:00:00+00:00,2020-01-01T21:00:00+00:00
XAUUSD,MT5,1975.89,1989.79,1956.29,1970.19,980,2020-01-01T21:00:00+00:00,2020-01-01T22:00:00+00:00
XAUUSD,MT5,1970.19,1976.75,1943.39,1949.95,1928,2020-01-01T22:00:00+00:00,2020-01-01T23:00:00+00:00
XAUUSD,MT5,1949.95,2009.14,1926.63,1985.82,853,2020-01-01T23:00:00+00:00,2020-01-02T00:00:00+00:00
XAUUSD,MT5,1985.82,1995.29,1971.53,1981.00,1033,2020-01-02T00:00:00+00:00,2020-01-02T01:00:00+00:00
XAUUSD,MT5,1981.00,1997.94,1951.15,1968.09,1388,2020-01-02T01:00:00+00:00,2020-01-02T02:00:00+00:00
XAUUSD,MT5,1968.09,2003.24,1922.35,1957.50,816,2020-01-02T02:00:00+00:00,2020-01-02T03:00:00+00:00
XAUUSD,MT5,1957.50,1997.93,1932.55,1972.97,900,2020-01-02T03:00:00+00:00,2020-01-02T04:00:00+00:00
XAUUSD,MT5,1972.97,1995.89,1960.68,1983.59,1824,2020-01-02T04:00:00+00:00,2020-01-02T05:00:00+00:00
XAUUSD,MT5,1983.59,1998.37,1980.91,1995.69,1565,2020-01-02T05:00:00+00:00,2020-01-02T06:00:00+00:00
XAUUSD,MT5,1995.69,2012.22,1991.87,2008.40,1753,2020-01-02T06:00:00+00:00,2020-01-02T07:00:00+00:00
XAUUSD,MT5,2008.40,2076.90,2005.24,2073.73,1715,2020-01-02T07:00:00+00:00,2020-01-02T08:00:00+00:00
XAUUSD,MT5,2073.73,2089.32,2045.31,2060.90,1692,2020-01-02T08:00:00+00:00,2020-01-02T09:00:00+00:00
XAUUSD,MT5,2060.90,2071.06,2034.73,2044.89,1447,2020-01-02T09:00:00+00:00,2020-01-02T10:00:00+00:00
XAUUSD,MT5,2044.89,2050.73,2014.02,2019.86,1197,2020-01-02T10:00:00+00:00,2020-01-02T11:00:00+00:00
XAUUSD,MT5,2019.86,2042.91,2015.33,2038.38,1379,2020-01-02T11:00:00+00:00,2020-01-02T12:00:00+00:00
XAUUSD,MT5,2038.38,2104.60,2006.74,2072.96,1243,2020-01-02T12:00:00+00:00,2020-01-02T13:00:00+00:00
XAUUSD,MT5,2072.96,2077.72,2064.42,2069.18,1405,2020-01-02T13:00:00+00:00,2020-01-02T14:00:00+00:00
XAUUSD,MT5,2069.18,2080.73,2031.50,2043.04,944,2020-01-02T14:00:00+00:00,2020-01-02T15:00:00+00:00
XAUUSD,MT5,2043.04,2061.87,1998.87,2017.70,1820,2020-01-02T15:00:00+00:00,2020-01-02T16:00:00+00:00
XAUUSD,MT5,2017.70,2050.84,2004.12,2037.26,826,2020-01-02T16:00:00+00:00,2020-01-02T17:00:00+00:00
XAUUSD,MT5,2037.26,2065.03,2032.10,2059.87,1278,2020-01-02T17:00:00+00:00,2020-01-02T18:00:00+00:00
XAUUSD,MT5,2059.87,2077.28,2059.07,2076.49,1269,2020-01-02T18:00:00+00:00,2020-01-02T19:00:00+00:00
XAUUSD,MT5,2076.49,2090.36,2041.75,2055.63,1013,2020-01-02T19:00:00+00:00,2020-01-02T20:00:00+00:00
XAUUSD,MT5,2055.63,2074.01,2044.19,2062.57,1111,2020-01-02T20:00:00+00:00,2020-01-02T21:00:00+00:00
XAUUSD,MT5,2062.57,2076.07,2052.45,2065.95,829,2020-01-02T21:00:00+00:00,2020-01-02T22:00:00+00:00
XAUUSD,MT5,2065.95,2081.03,2057.42,2072.50,1304,2020-01-02T22:00:00+00:00,2020-01-02T23:00:00+00:00
XAUUSD,MT5,2072.50,2122.34,2049.70,2099.54,1169,2020-01-02T23:00:00+00:00,2020-01-03T00:00:00+00:00
XAUUSD,MT5,2099.54,2107.43,2098.46,2106.35,1298,2020-01-03T00:00:00+00:00,2020-01-03T01:00:00+00:00
XAUUSD,MT5,2106.35,2142.03,2092.00,2127.67,1133,2020-01-03T01:00:00+00:00,2020-01-03T02:00:00+00:00
XAUUSD,MT5,2127.67,2132.62,2124.64,2129.59,1656,2020-01-03T02:00:00+00:00,2020-01-03T03:00:00+00:00
XAUUSD,MT5,2129.59,2160.04,2108.16,2138.61,1978,2020-01-03T03:00:00+00:00,2020-01-03T04:00:00+00:00
XAUUSD,MT5,2138.61,2178.92,2118.40,2158.71,1981,2020-01-03T04:00:00+00:00,2020-01-03T05:00:00+00:00
XAUUSD,MT5,2158.71,2164.47,2106.05,2111.80,1713,2020-01-03T05:00:00+00:00,2020-01-03T06:00:00+00:00
XAUUSD,MT5,2111.80,2149.78,2063.48,2101.46,1141,2020-01-03T06:00:00+00:00,2020-01-03T07:00:00+00:00
XAUUSD,MT5,2101.46,2106.06,2081.86,2086.45,1955,2020-01-03T07:00:00+00:00,2020-01-03T08:00:00+00:00
XAUUSD,MT5,2086.45,2103.07,2049.71,2066.32,889,2020-01-03T08:00:00+00:00,2020-01-03T09:00:00+00:00
XAUUSD,MT5,2066.32,2097.14,2026.76,2057.58,936,2020-01-03T09:00:00+00:00,2020-01-03T10:00:00+00:00
XAUUSD,MT5,2057.58,2122.57,2039.01,2104.00,1579,2020-01-03T10:00:00+00:00,2020-01-03T11:00:00+00:00
XAUUSD,MT5,2104.00,2107.67,2072.95,2076.62,1463,2020-01-03T11:00:00+00:00,2020-01-03T12:00:00+00:00
XAUUSD,MT5,2076.62,2132.22,2051.16,2106.77,928,2020-01-03T12:00:00+00:00,2020-01-03T13:00:00+00:00
XAUUSD,MT5,2106.77,2110.60,2050.18,2054.02,1981,2020-01-03T13:00:00+00:00,2020-01-03T14:00:00+00:00
XAUUSD,MT5,2054.02,2081.93,2015.58,2043.50,1964,2020-01-03T14:00:00+00:00,2020-01-03T15:00:00+00:00
XAUUSD,MT5,2043.50,2054.77,2036.99,2048.26,1699,2020-01-03T15:00:00+00:00,2020-01-03T16:00:00+00:00
XAUUSD,MT5,2048.26,2091.72,2022.67,2066.12,1157,2020-01-03T16:00:00+00:00,2020-01-03T17:00:00+00:00
XAUUSD,MT5,2066.12,2094.68,2059.49,2088.05,849,2020-01-03T17:00:00+00:00,2020-01-03T18:00:00+00:00
XAUUSD,MT5,2088.05,2121.05,2079.80,2112.80,1850,2020-01-03T18:00:00+00:00,2020-01-03T19:00:00+00:00
XAUUSD,MT5,2112.80,2116.61,2097.74,2101.54,1982,2020-01-03T19:00:00+00:00,2020-01-03T20:00:00+00:00
XAUUSD,MT5,2101.54,2129.32,2059.01,2086.79,1090,2020-01-03T20:00:00+00:00,2020-01-03T21:00:00+00:00
XAUUSD,MT5,2086.79,2122.73,2077.63,2113.58,1293,2020-01-03T21:00:00+00:00,2020-01-03T22:00:00+00:00
XAUUSD,MT5,2113.58,2133.72,2087.14,2107.28,1066,2020-01-03T22:00:00+00:00,2020-01-03T23:00:00+00:00
XAUUSD,MT5,2107.28,2117.15,2057.24,2067.11,1466,2020-01-03T23:00:00+00:00,2020-01-04T00:00:00+00:00
XAUUSD,MT5,2067.11,2075.36,2023.79,2032.04,1333,2020-01-04T00:00:00+00:00,2020-01-04T01:00:00+00:00
XAUUSD,MT5,2032.04,2038.78,1997.25,2003.98,1787,2020-01-04T01:00:00+00:00,2020-01-04T02:00:00+00:00
XAUUSD,MT5,2003.98,2044.28,1978.46,2018.75,1943,2020-01-04T02:00:00+00:00,2020-01-04T03:00:00+00:00
XAUUSD,MT5,2018.75,2038.54,2003.06,2022.84,858,2020-01-04T03:00:00+00:00,2020-01-04T04:00:00+00:00
XAUUSD,MT5,2022.84,2047.28,2019.24,2043.67,1715,2020-01-04T04:00:00+00:00,2020-01-04T05:00:00+00:00
XAUUSD,MT5,2043.67,2050.47,2023.59,2030.39,1655,2020-01-04T05:00:00+00:00,2020-01-04T06:00:00+00:00
XAUUSD,MT5,2030.39,2047.31,2018.08,2035.00,1687,2020-01-04T06:00:00+00:00,2020-01-04T07:00:00+00:00
XAUUSD,MT5,2035.00,2064.95,2024.00,2053.95,1687,2020-01-04T07:00:00+00:00,2020-01-04T08:00:00+00:00
XAUUSD,MT5,2053.95,2057.66,2040.51,2044.21,1889,2020-01-04T08:00:00+00:00,2020-01-04T09:00:00+00:00
XAUUSD,MT5,2044.21,2080.43,2021.81,2058.04,1081,2020-01-04T09:00:00+00:00,2020-01-04T10:00:00+00:00
XAUUSD,MT5,2058.04,2064.77,2030.74,2037.47,1332,2020-01-04T10:00:00+00:00,2020-01-04T11:00:00+00:00
XAUUSD,MT5,2037.47,2041.56,2022.09,2026.18,805,2020-01-04T11:00:00+00:00,2020-01-04T12:00:00+00:00
XAUUSD,MT5,2026.18,2035.54,2005.02,2014.38,1436,2020-01-04T12:00:00+00:00,2020-01-04T13:00:00+00:00
XAUUSD,MT5,2014.38,2022.30,1970.44,1978.35,835,2020-01-04T13:00:00+00:00,2020-01-04T14:00:00+00:00
XAUUSD,MT5,1978.35,1998.78,1972.20,1992.63,1532,2020-01-04T14:00:00+00:00,2020-01-04T15:00:00+00:00
XAUUSD,MT5,1992.63,2008.07,1962.99,1978.43,1605,2020-01-04T15:00:00+00:00,2020-01-04T16:00:00+00:00
XAUUSD,MT5,1978.43,2014.38,1942.62,1978.57,1429,2020-01-04T16:00:00+00:00,2020-01-04T17:00:00+00:00
XAUUSD,MT5,1978.57,2030.77,1940.48,1992.67,1217,2020-01-04T17:00:00+00:00,2020-01-04T18:00:00+00:00
XAUUSD,MT5,1992.67,2011.93,1986.57,2005.84,1651,2020-01-04T18:00:00+00:00,2020-01-04T19:00:00+00:00
XAUUSD,MT5,2005.84,2030.45,2001.12,2025.73,1508,2020-01-04T19:00:00+00:00,2020-01-04T20:00:00+00:00
XAUUSD,MT5,2025.73,2030.07,2018.17,2022.51,1459,2020-01-04T20:00:00+00:00,2020-01-04T21:00:00+00:00
XAUUSD,MT5,2022.51,2039.29,1992.70,2009.48,1863,2020-01-04T21:00:00+00:00,2020-01-04T22:00:00+00:00
XAUUSD,MT5,2009.48,2018.21,1998.13,2006.86,1610,2020-01-04T22:00:00+00:00,2020-01-04T23:00:00+00:00
XAUUSD,MT5,2006.86,2028.78,1934.55,1956.48,1210,2020-01-04T23:00:00+00:00,2020-01-05T00:00:00+00:00
XAUUSD,MT5,1956.48,1966.52,1904.21,1914.25,1440,2020-01-05T00:00:00+00:00,2020-01-05T01:00:00+00:00
XAUUSD,MT5,1914.25,1916.67,1874.02,1876.44,1998,2020-01-05T01:00:00+00:00,2020-01-05T02:00:00+00:00
XAUUSD,MT5,1876.44,1881.11,1843.69,1848.37,1441,2020-01-05T02:00:00+00:00,2020-01-05T03:00:00+00:00
XAUUSD,MT5,1848.37,1867.86,1839.79,1859.28,964,2020-01-05T03:00:00+00:00,2020-01-05T04:00:00+00:00
XAUUSD,MT5,1859.28,1883.08,1810.18,1833.99,872,2020-01-05T04:00:00+00:00,2020-01-05T05:00:00+00:00
XAUUSD,MT5,1833.99,1839.33,1818.07,1823.41,1270,2020-01-05T05:00:00+00:00,2020-01-05T06:00:00+00:00
XAUUSD,MT5,1823.41,1884.85,1797.64,1859.08,1212,2020-01-05T06:00:00+00:00,2020-01-05T07:00:00+00:00
XAUUSD,MT5,1859.08,1882.21,1825.84,1848.97,961,2020-01-05T07:00:00+00:00,2020-01-05T08:00:00+00:00
XAUUSD,MT5,1848.97,1884.80,1833.49,1869.33,1221,2020-01-05T08:00:00+00:00,2020-01-05T09:00:00+00:00
XAUUSD,MT5,1869.33,1873.74,1838.71,1843.12,1042,2020-01-05T09:00:00+00:00,2020-01-05T10:00:00+00:00
XAUUSD,MT5,1843.12,1855.10,1825.27,1837.24,1955,2020-01-05T10:00:00+00:00,2020-01-05T11:00:00+00:00
XAUUSD,MT5,1837.24,1853.71,1794.58,1811.04,1561,2020-01-05T11:00:00+00:00,2020-01-05T12:00:00+00:00
XAUUSD,MT5,1811.04,1815.42,1797.28,1801.66,1864,2020-01-05T12:00:00+00:00,2020-01-05T13:00:00+00:00
XAUUSD,MT5,1801.66,1824.54,1801.42,1824.30,1951,2020-01-05T13:00:00+00:00,2020-01-05T14:00:00+00:00
XAUUSD,MT5,1824.30,1836.33,1765.41,1777.44,1976,2020-01-05T14:00:00+00:00,2020-01-05T15:00:00+00:00
XAUUSD,MT5,1777.44,1789.96,1776.35,1788.86,1141,2020-01-05T15:00:00+00:00,2020-01-05T16:00:00+00:00
XAUUSD,MT5,1788.86,1818.01,1765.90,1795.05,1472,2020-01-05T16:00:00+00:00,2020-01-05T17:00:00+00:00
XAUUSD,MT5,1795.05,1801.48,1772.49,1778.92,1190,2020-01-05T17:00:00+00:00,2020-01-05T18:00:00+00:00
XAUUSD,MT5,1778.92,1785.75,1733.73,1740.56,1980,2020-01-05T18:00:00+00:00,2020-01-05T19:00:00+00:00
XAUUSD,MT5,1740.56,1752.50,1730.30,1742.24,1690,2020-01-05T19:00:00+00:00,2020-01-05T20:00:00+00:00
XAUUSD,MT5,1742.24,1745.78,1724.74,1728.27,830,2020-01-05T20:00:00+00:00,2020-01-05T21:00:00+00:00
XAUUSD,MT5,1728.27,1751.24,1711.14,1734.11,1159,2020-01-05T21:00:00+00:00,2020-01-05T22:00:00+00:00
XAUUSD,MT5,1734.11,1745.36,1723.24,1734.49,1012,2020-01-05T22:00:00+00:00,2020-01-05T23:00:00+00:00
XAUUSD,MT5,1734.49,1808.21,1702.74,1776.47,986,2020-01-05T23:00:00+00:00,2020-01-06T00:00:00+00:00
XAUUSD,MT5,1776.47,1782.04,1764.32,1769.90,1100,2020-01-06T00:00:00+00:00,2020-01-06T01:00:00+00:00
XAUUSD,MT5,1769.90,1772.08,1740.56,1742.74,1750,2020-01-06T01:00:00+00:00,2020-01-06T02:00:00+00:00
XAUUSD,MT5,1742.74,1757.94,1732.04,1747.24,1833,2020-01-06T02:00:00+00:00,2020-01-06T03:00:00+00:00
XAUUSD,MT5,1747.24,1769.27,1730.78,1752.81,1371,2020-01-06T03:00:00+00:00,2020-01-06T04:00:00+00:00
XAUUSD,MT5,1752.81,1795.71,1745.82,1788.72,1106,2020-01-06T04:00:00+00:00,2020-01-06T05:00:00+00:00
XAUUSD,MT5,1788.72,1817.86,1781.91,1811.06,1777,2020-01-06T05:00:00+00:00,2020-01-06T06:00:00+00:00
XAUUSD,MT5,1811.06,1826.52,1805.11,1820.58,1364,2020-01-06T06:00:00+00:00,2020-01-06T07:00:00+00:00
XAUUSD,MT5,1820.58,1871.81,1809.54,1860.77,1022,2020-01-06T07:00:00+00:00,2020-01-06T08:00:00+00:00
XAUUSD,MT5,1860.77,1881.31,1807.14,1827.68,1312,2020-01-06T08:00:00+00:00,2020-01-06T09:00:00+00:00
XAUUSD,MT5,1827.68,1833.44,1804.25,1810.02,1583,2020-01-06T09:00:00+00:00,2020-01-06T10:00:00+00:00
XAUUSD,MT5,1810.02,1814.22,1780.63,1784.84,1921,2020-01-06T10:00:00+00:00,2020-01-06T11:00:00+00:00
XAUUSD,MT5,1784.84,1797.50,1761.56,1774.23,1319,2020-01-06T11:00:00+00:00,2020-01-06T12:00:00+00:00
XAUUSD,MT5,1774.23,1803.58,1708.42,1737.77,1687,2020-01-06T12:00:00+00:00,2020-01-06T13:00:00+00:00
XAUUSD,MT5,1737.77,1764.50,1727.48,1754.21,923,2020-01-06T13:00:00+00:00,2020-01-06T14:00:00+00:00
XAUUSD,MT5,1754.21,1784.63,1717.75,1748.18,1486,2020-01-06T14:00:00+00:00,2020-01-06T15:00:00+00:00
XAUUSD,MT5,1748.18,1759.91,1698.10,1709.84,878,2020-01-06T15:00:00+00:00,2020-01-06T16:00:00+00:00
XAUUSD,MT5,1709.84,1712.38,1681.26,1683.80,1748,2020-01-06T16:00:00+00:00,2020-01-06T17:00:00+00:00
XAUUSD,MT5,1683.80,1694.65,1680.69,1691.54,1175,2020-01-06T17:00:00+00:00,2020-01-06T18:00:00+00:00
XAUUSD,MT5,1691.54,1725.99,1678.30,1712.75,1562,2020-01-06T18:00:00+00:00,2020-01-06T19:00:00+00:00
XAUUSD,MT5,1712.75,1778.51,1698.87,1764.63,1261,2020-01-06T19:00:00+00:00,2020-01-06T20:00:00+00:00
XAUUSD,MT5,1764.63,1856.75,1751.14,1843.26,1339,2020-01-06T20:00:00+00:00,2020-01-06T21:00:00+00:00
XAUUSD,MT5,1843.26,1862.31,1835.49,1854.54,1048,2020-01-06T21:00:00+00:00,2020-01-06T22:00:00+00:00
XAUUSD,MT5,1854.54,1857.58,1823.98,1827.01,1076,2020-01-06T22:00:00+00:00,2020-01-06T23:00:00+00:00
XAUUSD,MT5,1827.01,1827.20,1769.13,1769.31,1299,2020-01-06T23:00:00+00:00,2020-01-07T00:00:00+00:00
XAUUSD,MT5,1769.31,1785.58,1759.96,1776.23,1297,2020-01-07T00:00:00+00:00,2020-01-07T01:00:00+00:00
XAUUSD,MT5,1776.23,1776.39,1754.35,1754.51,1835,2020-01-07T01:00:00+00:00,2020-01-07T02:00:00+00:00
XAUUSD,MT5,1754.51,1757.26,1740.66,1743.41,1129,2020-01-07T02:00:00+00:00,2020-01-07T03:00:00+00:00
XAUUSD,MT5,1743.41,1763.67,1707.03,1727.28,1387,2020-01-07T03:00:00+00:00,2020-01-07T04:00:00+00:00
XAUUSD,MT5,1727.28,1736.15,1714.58,1723.45,1461,2020-01-07T04:00:00+00:00,2020-01-07T05:00:00+00:00
XAUUSD,MT5,1723.45,1764.45,1710.02,1751.03,1736,2020-01-07T05:00:00+00:00,2020-01-07T06:00:00+00:00
XAUUSD,MT5,1751.03,1756.23,1749.76,1754.96,1074,2020-01-07T06:00:00+00:00,2020-01-07T07:00:00+00:00
XAUUSD,MT5,1754.96,1784.90,1720.65,1750.59,1186,2020-01-07T07:00:00+00:00,2020-01-07T08:00:00+00:00
XAUUSD,MT5,1750.59,1769.94,1704.07,1723.41,1835,2020-01-07T08:00:00+00:00,2020-01-07T09:00:00+00:00
XAUUSD,MT5,1723.41,1741.83,1662.05,1680.47,1619,2020-01-07T09:00:00+00:00,2020-01-07T10:00:00+00:00
XAUUSD,MT5,1680.47,1684.01,1664.53,1668.07,1096,2020-01-07T10:00:00+00:00,2020-01-07T11:00:00+00:00
XAUUSD,MT5,1668.07,1682.32,1652.29,1666.54,1916,2020-01-07T11:00:00+00:00,2020-01-07T12:00:00+00:00
XAUUSD,MT5,1666.54,1725.50,1652.17,1711.13,1836,2020-01-07T12:00:00+00:00,2020-01-07T13:00:00+00:00
XAUUSD,MT5,1711.13,1715.03,1710.38,1714.28,1653,2020-01-07T13:00:00+00:00,2020-01-07T14:00:00+00:00
XAUUSD,MT5,1714.28,1746.71,1707.13,1739.55,1182,2020-01-07T14:00:00+00:00,2020-01-07T15:00:00+00:00
XAUUSD,MT5,1739.55,1743.15,1722.77,1726.37,965,2020-01-07T15:00:00+00:00,2020-01-07T16:00:00+00:00
XAUUSD,MT5,1726.37,1728.38,1693.76,1695.77,1919,2020-01-07T16:00:00+00:00,2020-01-07T17:00:00+00:00
XAUUSD,MT5,1695.77,1705.88,1661.09,1671.21,1025,2020-01-07T17:00:00+00:00,2020-01-07T18:00:00+00:00
XAUUSD,MT5,1671.21,1691.29,1632.86,1652.94,1647,2020-01-07T18:00:00+00:00,2020-01-07T19:00:00+00:00
XAUUSD,MT5,1652.94,1719.19,1640.12,1706.37,1544,2020-01-07T19:00:00+00:00,2020-01-07T20:00:00+00:00
XAUUSD,MT5,1706.37,1721.39,1670.28,1685.29,1076,2020-01-07T20:00:00+00:00,2020-01-07T21:00:00+00:00
XAUUSD,MT5,1685.29,1730.23,1661.49,1706.43,1508,2020-01-07T21:00:00+00:00,2020-01-07T22:00:00+00:00
XAUUSD,MT5,1706.43,1707.68,1682.03,1683.28,1136,2020-01-07T22:00:00+00:00,2020-01-07T23:00:00+00:00
XAUUSD,MT5,1683.28,1729.79,1660.27,1706.78,1824,2020-01-07T23:00:00+00:00,2020-01-08T00:00:00+00:00
XAUUSD,MT5,1706.78,1723.11,1700.13,1716.47,1876,2020-01-08T00:00:00+00:00,2020-01-08T01:00:00+00:00
XAUUSD,MT5,1716.47,1727.94,1700.78,1712.25,1727,2020-01-08T01:00:00+00:00,2020-01-08T02:00:00+00:00
XAUUSD,MT5,1712.25,1712.39,1710.86,1711.01,1098,2020-01-08T02:00:00+00:00,2020-01-08T03:00:00+00:00
XAUUSD,MT5,1711.01,1723.90,1681.20,1694.09,1902,2020-01-08T03:00:00+00:00,2020-01-08T04:00:00+00:00
XAUUSD,MT5,1694.09,1731.48,1667.89,1705.27,1891,2020-01-08T04:00:00+00:00,2020-01-08T05:00:00+00:00
XAUUSD,MT5,1705.27,1719.70,1679.06,1693.49,1981,2020-01-08T05:00:00+00:00,2020-01-08T06:00:00+00:00
XAUUSD,MT5,1693.49,1704.97,1650.97,1662.45,978,2020-01-08T06:00:00+00:00,2020-01-08T07:00:00+00:00
XAUUSD,MT5,1662.45,1670.27,1622.88,1630.70,1182,2020-01-08T07:00:00+00:00,2020-01-08T08:00:00+00:00
XAUUSD,MT5,1630.70,1640.17,1625.28,1634.75,1155,2020-01-08T08:00:00+00:00,2020-01-08T09:00:00+00:00
XAUUSD,MT5,1634.75,1681.72,1626.77,1673.74,1059,2020-01-08T09:00:00+00:00,2020-01-08T10:00:00+00:00
XAUUSD,MT5,1673.74,1686.88,1664.43,1677.57,1787,2020-01-08T10:00:00+00:00,2020-01-08T11:00:00+00:00
XAUUSD,MT5,1677.57,1681.85,1670.12,1674.40,893,2020-01-08T11:00:00+00:00,2020-01-08T12:00:00+00:00
XAUUSD,MT5,1674.40,1703.90,1651.91,1681.41,1260,2020-01-08T12:00:00+00:00,2020-01-08T13:00:00+00:00
XAUUSD,MT5,1681.41,1721.63,1674.26,1714.48,822,2020-01-08T13:00:00+00:00,2020-01-08T14:00:00+00:00
XAUUSD,MT5,1714.48,1736.45,1697.97,1719.94,1814,2020-01-08T14:00:00+00:00,2020-01-08T15:00:00+00:00
XAUUSD,MT5,1719.94,1742.10,1687.01,1709.17,1649,2020-01-08T15:00:00+00:00,2020-01-08T16:00:00+00:00
XAUUSD,MT5,1709.17,1755.29,1691.46,1737.58,949,2020-01-08T16:00:00+00:00,2020-01-08T17:00:00+00:00
XAUUSD,MT5,1737.58,1766.31,1719.87,1748.59,1868,2020-01-08T17:00:00+00:00,2020-01-08T18:00:00+00:00
XAUUSD,MT5,1748.59,1789.30,1748.43,1789.14,1731,2020-01-08T18:00:00+00:00,2020-01-08T19:00:00+00:00
XAUUSD,MT5,1789.14,1808.57,1774.43,1793.86,972,2020-01-08T19:00:00+00:00,2020-01-08T20:00:00+00:00
XAUUSD,MT5,1793.86,1799.11,1755.77,1761.02,1753,2020-01-08T20:00:00+00:00,2020-01-08T21:00:00+00:00
XAUUSD,MT5,1761.02,1777.87,1708.20,1725.05,1408,2020-01-08T21:00:00+00:00,2020-01-08T22:00:00+00:00
XAUUSD,MT5,1725.05,1768.78,1724.37,1768.10,1908,2020-01-08T22:00:00+00:00,2020-01-08T23:00:00+00:00
XAUUSD,MT5,1768.10,1838.67,1743.65,1814.21,819,2020-01-08T23:00:00+00:00,2020-01-09T00:00:00+00:00
XAUUSD,MT5,1814.21,1826.34,1797.00,1809.13,1265,2020-01-09T00:00:00+00:00,2020-01-09T01:00:00+00:00
XAUUSD,MT5,1809.13,1812.48,1795.20,1798.56,952,2020-01-09T01:00:00+00:00,2020-01-09T02:00:00+00:00
XAUUSD,MT5,1798.56,1838.82,1797.95,1838.21,1298,2020-01-09T02:00:00+00:00,2020-01-09T03:00:00+00:00
XAUUSD,MT5,1838.21,1852.89,1793.06,1807.74,1443,2020-01-09T03:00:00+00:00,2020-01-09T04:00:00+00:00
XAUUSD,MT5,1807.74,1809.76,1781.42,1783.44,1665,2020-01-09T04:00:00+00:00,2020-01-09T05:00:00+00:00
XAUUSD,MT5,1783.44,1817.41,1766.55,1800.53,860,2020-01-09T05:00:00+00:00,2020-01-09T06:00:00+00:00
XAUUSD,MT5,1800.53,1807.39,1782.84,1789.70,1212,2020-01-09T06:00:00+00:00,2020-01-09T07:00:00+00:00
XAUUSD,MT5,1789.70,1813.68,1765.38,1789.36,1596,2020-01-09T07:00:00+00:00,2020-01-09T08:00:00+00:00
XAUUSD,MT5,1789.36,1791.00,1783.14,1784.78,862,2020-01-09T08:00:00+00:00,2020-01-09T09:00:00+00:00
XAUUSD,MT5,1784.78,1807.89,1770.53,1793.64,1514,2020-01-09T09:00:00+00:00,2020-01-09T10:00:00+00:00
XAUUSD,MT5,1793.64,1845.80,1779.55,1831.70,1806,2020-01-09T10:00:00+00:00,2020-01-09T11:00:00+00:00
XAUUSD,MT5,1831.70,1845.61,1820.08,1833.99,1104,2020-01-09T11:00:00+00:00,2020-01-09T12:00:00+00:00
XAUUSD,MT5,1833.99,1866.63,1818.94,1851.58,1430,2020-01-09T12:00:00+00:00,2020-01-09T13:00:00+00:00
